,Movie Name,Release Year,Rating,Description,Genre
35,Amsterdam,2022,6.1,"In the 1930s, three friends witness a murder, are framed for it, and uncover one of the most outrageous plots in American history.","['Comedy', ' Drama', ' History']"
36,Where the Crawdads Sing,2022,7.2,A woman who raised herself in the marshes of the Deep South becomes a suspect in the murder of a man with whom she was once involved.,"['Drama', ' Mystery', ' Romance']"
37,Missing,2023,7.4,"After her mother goes missing, a young woman tries to find her from home, using tools available to her online.","['Drama', ' Thriller']"
38,Vengeance,2022,6.8,A writer from New York City attempts to solve the murder of a girl he hooked up with and travels down south to investigate the circumstances of her death and discover what happened to her.,"['Comedy', ' Mystery', ' Thriller']"
39,Blonde,2022,5.5,"The story of American actress Marilyn Monroe, covering her love and professional lives.","['Biography', ' Drama', ' Romance']"
40,Operation Fortune: Ruse de guerre,2023,6.7,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,"['Action', ' Comedy', ' Thriller']"
41,Guillermo del Toro's Pinocchio,2022,7.6,"A father's wish magically brings a wooden boy to life in Italy, giving him a chance to care for the child.","['Animation', ' Drama', ' Family']"
42,"Alice, Darling",2022,5.5,A young woman trapped in an abusive relationship becomes the unwitting participant in an intervention staged by her two closest friends.,"['Drama', ' Thriller']"
43,Skinamarink,2022,5.2,"Two children wake up in the middle of the night to find their father is missing, and all the windows and doors in their home have vanished.",['Horror']
44,Don't Worry Darling,2022,6.2,A 1950s housewife living with her husband in a utopian experimental community begins to worry that his glamorous company could be hiding disturbing secrets.,"['Drama', ' Thriller']"
45,Devotion,2022,6.6,A pair of U.S. Navy fighter pilots risk their lives during the Korean War and become some of the Navy's most celebrated wingmen.,"['Action', ' Drama', ' War']"
46,Magic Mike's Last Dance,2023,5.5,"Mike takes to the stage again, following a business deal that went bust, leaving him broke and taking bartender gigs in Florida. Mike heads to London with a wealthy socialite who lures him with an offer he can't refuse.","['Comedy', ' Drama']"
47,Black Adam,2022,6.4,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods--and imprisoned just as quickly--Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.","['Action', ' Adventure', ' Fantasy']"
48,Barbarian,2022,7.0,A woman staying at an Airbnb discovers that the house she has rented is not what it seems.,"['Horror', ' Mystery', ' Thriller']"
49,Black Panther,2018,7.3,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.","['Action', ' Adventure', ' Sci-Fi']"
50,Bank of Dave,2023,7.2,Based on the true-life experiences of Dave Fishwick; 'Bank of Dave' tells the story of how a working class Burnley man and self-made millionaire fought to set up a community bank.,"['Biography', ' Comedy', ' Drama']"
51,Interstellar,2014,8.6,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,"['Adventure', ' Drama', ' Sci-Fi']"
52,Pearl,2022,7.0,"In 1918, a young woman on the brink of madness pursues stardom in a desperate attempt to escape the drudgery, isolation and lovelessness of life on her parents' farm.",['Horror']
53,Smile,2022,6.6,"After witnessing a bizarre, traumatic incident involving a patient, a psychiatrist becomes increasingly convinced she is being threatened by an uncanny entity.","['Horror', ' Mystery', ' Thriller']"
54,RRR,2022,7.9,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.,"['Action', ' Adventure', ' Drama']"
55,Murder Mystery,2019,6.0,"A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire.","['Action', ' Comedy', ' Crime']"
56,Once Upon a Time in Hollywood,2019,7.6,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,"['Comedy', ' Drama']"
57,The Northman,2022,7.1,A young Viking prince is on a quest to avenge his father's murder.,"['Action', ' Adventure', ' Drama']"
